id,field,en,es
tut_jam_welcome,revisitTitle,Welcome to the jam,Bienvenido a la jam
tut_jam_welcome,mechanicText,"A gig is a sequence of songs played to an audience. The band has four musicians: drums, keys, bass and singer. Each song is built from cards during the player's turns; at the end of each song the audience is affected by what was played. The gig is won when every audience member is convinced.","Un concierto es una secuencia de canciones tocadas ante un público. La banda tiene cuatro músicos: batería, teclas, bajo y cantante. Cada canción se construye con cartas durante los turnos del jugador; al acabar cada canción, el público recibe el efecto de lo tocado. El concierto se gana cuando todos los miembros del público quedan convencidos."
tut_jam_welcome,page_1,"Welcome to the stage, rookie. This is a jam: the band plays live and the crowd decides if you're worth anything. Four musicians, four voices: drums, keys, bass and singer. Your only job is to make them talk at once. I'll tell you how.","Bienvenido al escenario, novato. Esto es una jam: la banda toca en vivo y el público decide si vales algo. Cuatro músicos, cuatro voces: batería, teclas, bajo y cantante. Tu único trabajo es hacer que hablen a la vez. Yo te voy diciendo cómo."
tut_your_turn,revisitTitle,Your turn,Tu turno
tut_your_turn,mechanicText,"During the player's turn the hand contains two card types. Composition cards add music to the song and are played onto the band. Action cards affect meters and statuses (protect musicians, pressure the audience) and are played onto a musician or an audience member. Playing a card may cost Inspiration, shown on the card.","Durante el turno del jugador, la mano contiene dos tipos de carta. Las cartas de composición añaden música a la canción y se juegan sobre la banda. Las cartas de acción afectan a medidores y estados (protegen músicos, presionan al público) y se juegan sobre un músico o un miembro del público. Jugar una carta puede costar Inspiración, indicada en la carta."
tut_your_turn,page_1,Your turn. Your hand holds two kinds of cards: COMPOSITION cards build the song; ACTION cards protect the band and push the crowd. Music first. Always.,Tu turno. En la mano hay dos tipos de carta: las de COMPOSICIÓN construyen la canción; las de ACCIÓN cuidan a la banda y empujan al público. La música primero. Siempre.
tut_play_composition,revisitTitle,Play a composition,Juega una composición
tut_play_composition,mechanicText,"A composition card is played by dragging it onto the band. It always resolves on the musician named on the card, regardless of where it is dropped. It writes music to that musician's track in the song panel and contributes to the song's score for the loops in which it plays.","Una carta de composición se juega arrastrándola sobre la banda. Siempre se resuelve sobre el músico indicado en la carta, da igual dónde se suelte. Escribe música en la pista de ese músico en el panel de la canción y contribuye a la puntuación de la canción durante los loops en que suena."
tut_play_composition,page_1,"Play a composition card: drag it onto the band. Every card carries its musician's name and lands on them, wherever you drop it. Each one adds something real to the song. It's not set dressing, it's music.","Juega una carta de composición: arrástrala a la banda. Cada carta lleva el nombre de su músico y cae sobre él, da igual dónde la sueltes. Cada una añade algo real a la canción. No es decorado, es música."
tut_first_sfx_stage,revisitTitle,The stage reacts,El escenario reacciona
